0000001 002  -----   -----                    
0002511 040  NN1     policy                   X7+ Q1.2 
0002511 050  NN2     implications             A2.2 
0002511 060  II      in                       Z5 
0002511 070  NN1     vietnamese               Z2/S2mf 
0002511 080  NN1     refugee                  M1/S2mf 
0002511 090  NN1     research                 X2.4 
0002513 010  NN1     indochinese              Z99 
0002513 020  NN2     refugees                 M1/S2mf 
0002513 030  II      in                       Z5 
0002513 040  NN1     america                  Z2 
0002513 050  NN2     problems                 A12- X4.1 N2 B2- 
0002513 060  IO      of                       Z5 
0002513 070  NN1     adaptation               A2.1+ 
0002513 080  CC      and                      Z5 
0002513 090  NN1     assimilation             A6.1+/A2.1 A9+ 
0002515 010  NN1     immigration              M1/M7 
0002515 020  AT      the                      Z5 
0002515 030  JJ      beleaguered              E3- G3 
0002515 040  NN1     bureaucracy              G1.1 S8- 
0002517 010  NN1     migration                M1 
0002517 020  CC      and                      Z5 
0002517 030  JJ      geographical             W3 
0002517 040  NN1     change                   A2.1+ I1 B1 
0002519 010  JJ      political                G1.2 
0002519 020  CC      and                      Z5 
0002519 030  JJ      economic                 I1.3- I2.1 
0002519 040  NN2     migrants                 M1/S2mf 
0002519 050  II      in                       Z5 
0002519 060  NN1     america                  Z2 
0002521 010  IW      without                  Z5 
0002521 020  NN1     justice                  G2.1+ G2.2+ 
0002521 030  IF      for                      Z5 
0002521 040  DB      all                      N5.1+ 
0002521 050  AT      the                      Z5 
0002521 060  JJ      constitutional           G1.1 
0002521 070  NN2     rights                   S7.4+ G2.2+ M6 G1.2 
0002521 080  IO      of                       Z5 
0002521 090  NN2     aliens                   M7/S2mf W1/S2mf 
0002523 010  JJ      immigrant                M1/M7/S2mf 
0002523 020  NN2     socialists               G1.2/S2mf 
0002523 030  II      in                       Z5 
0002523 040  AT      the                      Z5 
0002523 050  JJ      united                   Z2c[i401.2.1 S5+ 
0002523 060  NN2     states                   Z2c[i401.2.2 G1.1c O4.1 
0002523 070  AT      the                      Z5 
0002523 080  NN1     case                     A4.1 O2 G2.1 B3 X4.1 Q3 
0002523 090  IO      of                       Z5 
0002523 100  NN2     finns                    Z2/S2mf 
0002523 110  CC      and                      Z5 
0002523 120  AT      the                      Z5 
0002523 130  JJ      left                     M6 G1.2 N5.2+ 
0002525 010  AT      the                      Z5 
0002525 020  NN1     struggle                 X8+ A12- E3- 
0002525 030  IF      for                      Z5 
0002525 040  NN1     influence                S7.1+ A2.2 
0002525 050  AT      the                      Z5 
0002525 060  NN1     impact                   A2.2 A1.1.1 
0002525 070  IO      of                       Z5 
0002525 080  NN1     minority                 N5- 
0002525 090  NN2     groups                   S5+ A4.1 B3% 
0002525 100  II      on                       Z5 
0002525 110  NN1     politics                 G1.2c 
0002525 120  CC      and                      Z5 
0002525 130  JJ      public                   S5+ A10+ 
0002525 140  NN1     policy                   X7+ Q1.2 
0002525 150  II      in                       Z5 
0002525 160  AT      the                      Z5 
0002525 170  JJ      united                   Z2c[i402.2.1 S5+ 
0002525 180  NN2     states                   Z2c[i402.2.2 G1.1c O4.1 
0002527 010  RL      here                     M6 T1.1.2 T1.2 
0002527 020  RR21    for                      Z5 A5.1+ S8+ M6 
0002527 030  RR22    good                     A5.1+ G2.2+ O4.2+ 
0002529 010  AT      the                      Z5 
0002529 020  JJ      asian                    Z2 
0002529 030  JJ      indian                   Z2 
0002529 040  NN1     experience               X2.2+ X9.1+ I3.2 A2.1+/A3+ X3 
0002529 050  II      in                       Z5 
0002529 060  AT      the                      Z5 
0002529 070  JJ      united                   Z2c[i403.2.1 S5+ 
0002529 080  NN2     states                   Z2c[i403.2.2 G1.1c O4.1 
0002531 010  AT      the                      Z5 
0002531 020  NN2     italians                 Z2/S2mf F1 
0002531 030  IO      of                       Z5 
0002531 040  NN1     greenwich                Z2 
0002531 050  NN1     village                  M7 
0002533 010  AT      the                      Z5 
0002533 020  JJ      italian                  Z2 Z2/Q3 
0002533 030  NN2     americans                Z2/S2mf 
0002533 040  JJ      troubled                 E6- 
0002533 050  NN2     roots                    L3 B1 A2.2 S4 A11.1+ Q3 N2 
0002535 010  VVG     growing                  T3+/A2.1[i404.2.1 N3.2+/A2.1[i404.2.1 S1.2.6+/A2.1[i404.2.1 N3.2+/A2.1 A2.1+ A5.1+/A2.1 F4 
0002535 020  RP      up                       T3+/A2.1[i404.2.2 N3.2+/A2.1[i404.2.2 S1.2.6+/A2.1[i404.2.2 
0002535 030  II      on                       Z5 
0002535 040  AT      the                      Z5 
0002535 050  ND1     south                    M7[i405.2.1 M6 
0002535 060  NN1     side                     M7[i405.2.2 A4.1 M6 N5.1- S7.3+/S5+c B1 S5+c S4c F1 S1.2 
0002535 070  MC      three                    N1 T1.2 T3 
0002535 080  NN2     generations              T1.3 S5+c 
0002535 090  IO      of                       Z5 
0002535 100  NN2     slovaks                  Z2/S2mf 
0002535 110  II      in                       Z5 
0002535 120  NN1     bethlehem                Z2 
0002535 130  NN1     pennsylvania             Z2 
0002535 140  MC      1880                     N1[i406.2.1 T3[i406.2.1 T1.2[i406.2.1 T1.3[i406.2.1 N3.3[i406.2.1 N3.5[i406.2.1 I1[i406.2.1 N1 T1.2 T3 T1.3 N3.2 
0002535 150  MC      1976                     N1[i406.2.2 T3[i406.2.2 T1.2[i406.2.2 T1.3[i406.2.2 N3.3[i406.2.2 N3.5[i406.2.2 I1[i406.2.2 N1 T1.2 T3 T1.3 N3.2 
0002537 010  NN2     guests                   S2mf 
0002537 020  VV0     come                     A1.1.1 
0002537 030  TO      to                       Z5 
0002537 040  VVI     stay                     M8 T2++ H4 
0002537 050  AT      the                      Z5 
0002537 060  NN2     effects                  A2.2 A8 
0002537 070  IO      of                       Z5 
0002537 080  JJ      european                 Z2 
0002537 090  NN1     labor                    A1.1.1 A12- I3.1/S5+ B1 
0002539 010  JJ      international            M7 
0002539 020  NN1     newsletter               Q4.2 
0002539 030  II      on                       Z5 
0002539 040  NN1     migration                M1[i407.2.1 M1 
0002541 010  NN2     factors                  M1[i407.2.2 A2.2 A4.1 N2 I2.1/S2mf@ 
0002541 020  VVG     influencing              A2.2 A2.1+ 
0002541 030  AT      the                      Z5 
0002541 040  NN1     policy                   X7+ Q1.2 
0002541 050  NN2     responses                Q2.1 S1.1.2+ 
0002541 060  IO      of                       Z5 
0002541 070  NN1     host                     S2mf B1@ Y2@ S9% 
0002541 080  NN2     governments              G1.1c 
0002541 090  II      to                       Z5 
0002541 100  JJ      mass                     N5+ 
0002541 110  NN1     refugee                  M1/S2mf 
0002541 120  NN2     influxes                 M1 
0002543 010  NN2     components               O2 N5.1- 
0002543 020  IO      of                       Z5 
0002543 030  NN1     refugee                  M1/S2mf 
0002543 040  NN1     adaptation               A2.1+ 
0002545 010  JJ      metropolitan             M7 
0002545 020  NN2     characteristics          O4.1 A4.2+ N2 
0002545 030  CC      and                      Z5 
0002545 040  NN1     entrepreneurship         I2.1 
0002545 050  II      among                    Z5 
0002545 060  NN2     immigrants               M1/M7/S2mf 
0002545 070  CC      and                      Z5 
0002545 080  JJ      ethnic                   S5+c[i408.2.1 S5+ 
0002545 090  NN2     groups                   S5+c[i408.2.2 S5+ A4.1 B3% 
0002545 100  II      in                       Z5 
0002545 110  NN1     canada                   Z2 
0002547 010  JJ      internal                 M6 A10- G1.1 
0002547 020  NN1     migration                M1 
0002547 030  IO      of                       Z5 
0002547 040  AT      the                      Z5 
0002547 050  NN1     foreign-born             Z99 
0002547 060  II      in                       Z5 
0002547 070  NN1     canada                   Z2 
0002549 010  NN1     gender                   S2 
0002549 020  NN2     values                   A11.1+ I1.3 G2.2 A4.1 N1 
0002549 030  CC      and                      Z5 
0002549 040  NN2     intentions               X7+ O4.1% 
0002549 050  TO      to                       Z5 
0002549 060  VVI     move                     M2 M1 A2.1+ E1 H4/A2.1 
0002549 070  II      in                       Z5 
0002549 080  JJ      rural                    F4/M7 
0002549 090  NN1     thailand                 Z2 
0002551 010  JJ      occupational             I3.1 
0002551 020  NN2     attainments              A9+ 
0002551 030  IO      of                       Z5 
0002551 040  JJ      rural                    F4/M7 
0002551 050  II      to                       Z5 
0002551 060  JJ      urban                    M7 
0002551 070  JJ      temporary                T1.3 
0002551 080  JJ      economic                 I1.3- I2.1 
0002551 090  NN2     migrants                 M1/S2mf 
0002551 100  II      in                       Z5 
0002551 110  NN1     china                    O1.1 O2 Z2 
0002551 120  MC      1985                     N1[i409.2.1 T3[i409.2.1 T1.2[i409.2.1 T1.3[i409.2.1 N3.3[i409.2.1 N3.5[i409.2.1 I1[i409.2.1 N1 T1.2 T3 T1.3 N3.2 
0002551 130  MC      1990                     N1[i409.2.2 T3[i409.2.2 T1.2[i409.2.2 T1.3[i409.2.2 N3.3[i409.2.2 N3.5[i409.2.2 I1[i409.2.2 N1 T1.2 T3 T1.3 N3.2 
0002553 010  RRQ     where                    M6 
0002553 020  VD0     do                       Z5 A1.1.1 G2.2- X9.2+ E3- N5+ G2.1% 
0002553 030  NN2     americans                Z2/S2mf 
0002553 040  VVI     live                     H4 L1+ A3 
0002553 050  RL      abroad                   M7 
0002555 010  NN1     migration                M1 
0002555 020  NN2     processes                A1.1.1 X4.2 
0002555 030  CC      and                      Z5 
0002555 040  NN2     interventions            S1.1.3+ N4 
0002557 010  JJ      transnational            Z99 
0002557 020  NN1     citizenship              G1.1 S5+ 
0002557 030  NN1     membership               S5+c P1 
0002557 040  CC      and                      Z5 
0002557 050  NN2     rights                   S7.4+ G2.2+ M6 G1.2 
0002557 060  II      in                       Z5 
0002557 070  JJ      international            M7 
0002557 080  NN1     migration                M1 
0002559 010  FW      les                      Z1m 
0002559 020  NN2     migrations               M1 
0002559 030  NN2     internationales          Z99 
0002559 040  FW      les                      Z1m 
0002559 050  NN2     nouvelles                T3- 
0002559 060  NN2     logiques                 Z99 
0002559 070  VVZ     migratoires              Z99 
0002561 010  VVG     constructing             A1.1.1 
0002561 020  AT1     a                        Z5 
0002561 030  JJ      productive               X9.2+ 
0002561 040  JJ      other                    A6.1- 
0002561 050  NN1     discourse                Q2.1 Q1.2 
0002561 060  NN1     theory                   X4.1 
0002561 070  CC      and                      Z5 
0002561 080  AT      the                      Z5 
0002561 090  NN1     convention               A6.2+ S1.1.3+ A6.1+/G1.1 
0002561 100  NN1     refugee                  M1/S2mf 
0002561 110  VVG     hearing                  X3.2 X2.3+ G2.1@ 
0002563 010  AT      the                      Z5 
0002563 020  NN1     rwandese                 Z99 
0002563 030  NN1     crisis                   A12- 
0002563 040  NN1     history                  T1.1.1 P1/T1.1.1 Q2.1 B2 
0002563 050  IO      of                       Z5 
0002563 060  AT1     a                        Z5 
0002563 070  NN1     genocide                 L1-/S5+ 
0002565 010  NN2     models                   O2/A5.4- A4.1 X4.2 A5.1+++ C1/S2mf B5/I3.2/S2mf 
0002565 020  IO      of                       Z5 
0002565 030  NN1     migration                M1 
0002567 010  JJ      international            M7 
0002567 020  NN1     counter                  H5/I2.2 H5 N2/O2 
0002567 030  NN1     urbanization             Z99 
0002569 010  NN1     human                    S2mf 
0002569 020  NN1     diversity                A6.3+ 
